der, die, das;the
gefährlich, bedenklich, rücksichtslos adv;dangerously adv
Blei, Miene (Schreibgerät) Graphit, Kugeln, Lot (Seefahrt), Vorsprung (Wettbewerb), Spitzenposition, Führung, Spitze, Tabellenspitze n;lead n
Treffen, Zusammenkunft, Versammlung, Versammeln, Sammeln, Pflücken, Ernte von etw n;gathering n
Essen, Mahl, Mahlzeit, Schrotmehl n;meal n
Farbe, Anstrich, Lack n;paint n
Regenschirm, Sonnenschirm, Abschirmung (Militär), Luftschirm (Militär) n;umbrella n
verschwinden, entschwinden, schwinden, aussterben, verloren gehen v;disappear v
Wein n;wine n
hässlich, übel, schlimm, gemein adj;ugly adj
parken, abstellen v;park v
durstig, mit hohem Benzinverbrauch adj;thirsty adj
träumen, seinen nackten Hintern herausstrecken v;moon v
still, ruhig, schweigsam, schweigend adj;silent adj
Ei, Eizelle n;egg n
einrichten, anordnen, ordnen, arrangieren v;arrange v
Annahme, Zustimmung, Zusage n;acceptance n
Überraschung n;surprise n
Schnur, Bindfaden, Saite (Musik), Zeichenkette (Computer) n;string n
Küche n;kitchen n
mit dem Knie stoßen v;knee v
vermeiden, meiden, ausweichen, umgehen v;avoid v
Ruf, Schrei n;shout n
Bein, Keule, Hachse, Etappe n;leg n
Husten n;cough n
Motor, Motor-... n;motor n
in Abständen verteilen, in Abständen aufstellen, in Abständen setzen, verteilen, Zwischenraum lassen, Abstand lassen v;space v
Bier n;beer n
beunruhigen, bekümmern, bemühen, belästigen v;trouble v
Ball, Kugel, Knäuel n;ball n
südlich, Süd-... adj;south adj
Krankheit, Leiden, Gebrechen n;disease n
fließen, strömen, wallen v;flow v
Stille, Stillschweigen, Schweigen, Ruhe n;silence n
Metall, Metall-... n;metal n
gebraucht, benutzt adj;used adj
kochen, garen, braten, backen, zubereiten v;cook v
Glas, Trinkglas n;glass - glasses n
Schatten werfen auf, überschatten, beschatten (Person) v;shadow v
sinnlos, zwecklos, sinnlos, zu nichts nütze, zu nichts zu gebrauchen, unbrauchbar adj;useless adj
christlich adj;Christian adj
Nachbar, Mitmensch, Nächster n;neighbour (BrE), neighbor (AmE) n
Strom, Strömung (Wasser, Luft), elektrischer Strom, Tendenz, Trend n;current n
Unfall, Krach, Zusammenbruch, Absturz n;crash n
vergeben, verzeihen, erlassen v;forgive (forgave - forgiven) v
etw bedauern, nachtrauern v;regret v
nützlich, praktisch, brauchbar, wertvoll, nutzbringend adj;useful adj
Kaffee n;coffee n
mischen, vermischen, vermengen, sich mischen lassen, zusammenpassen, miteinander auskommen v;mix v
Rand, Schwelle, Schneide, Kante n;edge n
Aufstieg, Klettertour, Steigflug n;climb n
Unterricht n;lessons n
Übertragung, Sendung n;broadcast n
Schlauheit, Klugheit, Cleverness, Geschick, Geschicklichkeit n;cleverness n
Knochen, Gräte, Bein (aus Knochen gemacht) n;bone n
Teufel n;devil n
verschließen (mit einer Kappe), zumachen v;cap v
notwendigerweise, unbedingt, zwangsläufig adv;necessarily adv
fischen v;fish v
Gesundheit, Gesundheitszustand n;health n
Fisch n;fish - fishes n
Pappe, Karton, Karte, Postkarte, Spielkarte, Einsteckkarte (Elektronik) n;card n
Mischung n;mix n
Ladung, Belastung, Last n;load n
Kuchen, Torte, Gebäckstück n;cake n
töten, umbringen, totschlagen, erschlagen, unheimlich schmerzen, unheimlich wehtun v;kill v
Unterschied, Verschiedenheit, Differenz, Meinungsverschiedenheit n;difference n
Cent n;cent n
entleeren, leeren, ausräumen, austrinken v;empty v
übertragen, senden, ausstrahlen v;broadcast (broadcast - broadcast) v
wach, aufmerksam, aufmerksam werden adj;awake adj
sanft, zart, freundlich adj;gentle adj
Anstieg, Zunahme, Erhöhung n;increase n
unwegsames Gelände, Rau (Golf), Rohentwurf, Rowdy, Schläger n;rough n
Christ(in) n;Christian n
wahnsinnig, geisterkrank, verrückt, durchgeknallt, böse, sauer adj;mad adj
Geheimnis n;secret n
Nuss, kleines Stück, Spinner (ugs) n;nut n
Vorwärtsgehen, Vorrücken, Fortschritt, Vorschuss n;advance n
zu Mittag essen, zum Mittagessen einladen v;lunch v
Benehmen, Manieren n;manners n
Paar, Pärchen n;pair n
verursachen, hervorrufen v;cause v
leihen, sich ausleihen, sich borgen v;borrow v
Besitz, Besitzung, Eigentum, Besessenheit n;possession n
Phantasie, Vorstellungskraft, Einbildungskraft n;imagination n
verärgern, ärgern, erzürnen v;anger v
Wildnis, freie Wildbahn n;wild n
Übung, Üben, Übungsstunde, Training, Praxis, Praktik, Gewohnheit n;practice n
begnadigen, verzeihen, vergeben v;pardon v
abstimmen, zuschneiden, anpassen, eingeben (Daten/Text), drücken (Taste) v;key v
seltsam, eigenartig, sonderbar, merkwürdig, geheimnisvoll, fremd, nicht vertraut, ungewohnt adj;strange adj
anketten, festketten, an die Kette legen v;chain v
wild, rau, unzivilisiert, undiszipliniert, unordentlich adj;wild adj
Besitzer, Eigentümer, Inhaber n;owner n
Gold, Goldmedaille n;gold n
ankommen, eintreffen v;arrive v
Dach, Verdeck, Gewölbe n;roof n
Pferd, Ross n;horse n
Fleck, Kratzer, Marke, Markierung, Merkmal, Zeichen, Schulnote, Note n;mark n
unmöglich, unerfüllbar adj;impossible adj
obere(r, s), Ober-... adj;upper adj
Schnee n;snow n
Fütterung, Mahlzeit, Futter, Essen, Stichwort (Theater), Versorgung, Beschickung n;feed n
Ehre, Ehrung n;honour (BrE), honor (AmE) n
Verteilung, Teilung, Kluft, Division (Mathematik), Dividieren, Abteilung, Liga (Sport), Division (Militär) n;division n
Glocke, Glöckchen, Klingel, Türklingel n;bell n
spannen, aufreihen (Perlen) v;string (strung - strung) v
versteckt adj;hidden adj
Schlag, Stoß, Klopfen n;knock n
blockieren, versperren, sperren, absperren v;block v
Sehen, Sehvermögen, Sehkraft, Sicht, Anblick, Sehenswürdigkeit n;sight n
Anwesenheit, Vorhandensein, Gegenwart, Präsenz, Haltung, Auftreten n;presence n
drücken, zusammendrücken, ausdrücken, pressen, keltern, bügeln, bedrängen, forcieren v;press v
weinen, tränen, nässen v;weep (wept -wept) v
Gabel, Heugabel, Gabelung n;fork n
nördlich, Nord-... adj;north adj
zustimmen, einwilligen, für etw sein, etw befürworten, übereinstimmen v;agree v
amüsieren, belustigen, unterhalten v;amuse v
aufregen, aufgeregt machen, begeistern, reizen, erregen, anregen, hervorrufen, verursachen v;excite v
Schuh n;shoe n
zerstören, ruinieren, zugrunde richten, verderben, zunichte machen v;ruin v
Händler(in), Dealer(in) n;dealer n
Maschine, Motor, Triebwerk, Lokomotive, Lok n;engine n
Feind(in) n;enemy n
Adresse, Anschrift n;address n
wertvoll, kostbar, hochverehrt, heiß geliebt adj;precious adj
Kreuz, Kreuzung, Mittelding n;cross n
Boot, Kahn, Schiff, Dampfer, Sauciere n;boat n
Jahrmarkt, Rummelplatz, Messe n;fair n
Tapferkeit, Mut n;braveness n
verstecken, verhüllen, verbergen, verdecken v;hide (hid - hidden) v
Notwendigkeit, Lebensnotwendige n;necessity n
einen Sprung in etw machen, aufbrechen, aufschlagen, knallen, knacken v;crack v
Schulter, Schultergürtel, Schulterstück, Schulterpartie n;shoulder n
Ebene, Flachland, Tiefebene n;plain n
nett, freundlich, schmeichelhaft, liebenswürdig, liebenswert adj;kind adj
vervollständigen, ergänzen, vollenden v;complete v
Fahrt, Fahren, Fahrstrecke, Fahrweg, Antrieb, Tatkraft, Energie, Elan, Laufwerk (Computer) n;drive n
Pfund (Währung), Pfund (Gewicht) = 454 g n;pound n
Vetter, Cousin, Cousine n;cousin n
schlechter, schlimmer n;worse n
Schlüssel, wichtigste(r, s) adj;key adj
Distanz, Abstand, Entfernung, Stecke, Ferne n;distance n
gerecht, anständig, fair adj;fair adj
unterzeichnen, unterschreiben, signieren v;sign v
Fleisch n;meat n
unglücklich, traurig, bedauerlich, unzufrieden, nicht glücklich, glücklos adj;unhappy adj
Laken, Bettlaken, Blatt (Papier), Platte, Bogen (Briefmarken), Schot (Segelboot) n;sheet n
abhängen (von), angewiesen sein (auf), abhängig sein (von) v;depend (on) v
einlagern, anlegen, abspeichern, speichern (Computer) v;store v
Fähigkeit, Können, Talent, Begabung n;ability n
Beschwerde, Klage, Klageschrift (Jura), Mängelrüge, Reklamation n;complaint n
reif, gereift adj;ripe adj
Durchgang, Durchfahrt, Durchreise, Passage, Gang, Durchgang, Übergang n;passage n
Geburt, Abstammung, Herkunft, Gründung, Entstehen n;birth n
perfekt, vorbildlich, ideal, vollkommen, vollendet adj;perfect adj
Reisen, Reise-... n;travel n
Finale, Endrunde, Endspiel n;final n
Flasche, Mumm (ugs) n;bottle n
lügen v;lie (lied - lied) v
Geschwindigkeit, Schnelligkeit, Tempo n;speed, velocity n
erblinden, blenden, blind machen v;blind v
Beweis, Beleg, Nachweis, Korrekturfahne n;proof n
schürfen, graben v;mine v
graben, wühlen, buddeln v;dig (dug - dug) v
versorgen, beliefern, versorgen v;supply v
Lektion, Unterrichtsstunde, Schulstunde n;lesson - lessons n
Ruhe, Stille, Fassung, Gelassenheit, Besonnenheit, Windstille n;calm n
meistens, normalerweise, gewöhnlich adj;usually adj
Puder, Pulver, Pulverschnee n;powder n
weich, sanft, leise, zart, schlaff adj;soft adj
Schönheit, Prachtexemplar n;beauty n
abwesend, nicht anwesend, fehlend, geistesabwesend adj;absent adj
freier Tag, Urlaub, Feiertag, Ferien n;holiday - holidays n
Verbrechen, Kriminalität, Schande, Sünde n;crime n
geschützt adj;protected adj
sichten, ausmachen v;sight v
Test, Klassenarbeit, Klausur, Prüfung n;test n
Schmerz, Schmerzen, Leid n;pain n
irgendwo, irgendwohin;somewhere
erzwungen, gezwungen adj;forced adj
ordentlich, aufgeräumt, sauber adj;tidy adj
Einladung, Aufforderung, Ausschreibung n;invitation n
pumpen, auspumpen, mehrmals treten v;pump v
verärgert, ärgerlich, böse, wütend, zornig adj;angry adj
trocken adj;dry adj
bestrafen, strafen, strapazieren, schinden v;punish v
mieten, vermieten, pachten v;rent v
Sand n;sand n
heiraten, trauen, verheiraten adj;marry adj
etw an etw nageln, schnappen (Polizei), drankriegen, festnageln v;nail v
respektieren, Hochachtung vor etw haben, achten v;respect v
überqueren, durchqueren, kreuzen v;cross v
rauchen, etw rauchen, etw räuchern v;smoke v
schulden, schuldig sein, verdanken n;owe n
die Briten n;British n
Schreibtisch, Schalter, Redaktion (Zeitung) n;desk n
Vertrauen, Treuhand, Treuhandschaft, Treuhandgesellschaft, Trust (Stiftung) n;trust n
melken, Milch geben v;milk v
Stufe, Treppe n;stair - stairs n
Übereinstimmung, Abkommen, Einigung, Abmachung, Übereinkunft n;agreement n
Fahrrad n;bicycle, cycle, bike n
Absicht, Vorsatz, Intention n;intention n
Fortschritte machen, vorankommen, aufsteigen, befördert werden, vorwärts bewegen, vorrücken v;advance v
schwul, Schwulen-... adj;gay adj
Abfall, Müll-... n;refuse n
bestellen, beauftragen, befehlen, anordnen, einordnen v;order v
bemitleiden, bedauern v;pity v
schwach, labil, dünn, empfindlich, matt, schlapp, unfähig adj;weak adj
im Süden, nach Süden, gen Süden, südwärts adv;south adv
Freundschaft n;friendship n
Knie n;knee n
Freundlichkeit, Liebenswürdigkeit, Güte, Gefälligkeit, Aufmerksamkeit n;kindness n
Rücksicht, Rücksicht nehmen, Hochachtung, Achtung (Wertschätzung) n;regard - regards n
Wiese, Weide n;meadow n
Miete, Pacht n;rent n
Rechnung, Geldschein, Banknote, Gesetzentwurf, Gesetzesvorlage, Schnabel (Vogelkunde) n;bill n
Zorn, Ärger, Wut n;anger n
Tanz, Tanzveranstaltung, Tanzabend n;dance n
fröhlich, vergnügt, lustig, angesäuselt adj;merry adj
blind adj;blind adj
Ehemann n;husband n
Gewissen n;conscience n
verdoppeln v;double v
Hose (BrE) n;trousers (BrE) n
kämmen, striegeln, abklappern, durchkämmen v;comb v
Schüssel, Schale, Stadion n;bowl n
Rock, Schoß n;skirt n
Brust n;breast n
Schalter, Wechsel, Wandel, Austausch, Rute, Gerte n;switch n
schick, modisch, ausgefallen adj;fancy adj
stopfen, voll stopfen, zustopfen, verstopfen, füllen, ausfüllen, ausstopfen v;stuff v
fröhlich, vergnügt adv;merrily adv
bürsten, wischen, putzen, fegen, kehren v;brush v
Mut, Courage, Tapferkeit n;courage n
Beachtung, Notiz, Bescheid, Benachrichtigung, Mitteilung, Anzeige (Zeitung), Vorankündigung n;notice n
Trennung, Getrenntsein, Abtrennung, Scheidung n;separation n
Ehe, Heirat, Trauung n;marriage n
Schauer, Regen, Dusche n;shower n
Geschenk, Gabe, Begabung, Spende, Schenkung n;gift n
Zigarette n;cigarette n
gelobt sei Gott!;praise God!
krank, übel, geschmacklos, makaber, abartig, pervers adj;sick adj
Applaus, Beifall, Klatschen n;applause n
Innen-..., innere(r) adj;inside adj
Mond n;moon n
Menschenmenge, Zuschauermenge, Clique, Masse, breite Masse n;crowd n
grausam, gemein, hart schrecklich adj;cruel adj
Fremdenführer, Reiseführer, Führer n;guide n
Welle, Woge n;wave n
Reichtum, Wohlstand, Vermögen n;wealth n
vorsichtig, behutsam, sorgfältig adj;careful adj
geheim, Geheim-..., verborgen, heimlich adj;secret adj
Lob, Lobpreisung n;praise n
Eis, Eiswürfel n;ice n
Anfänge, Ursprünge, erste Anzeichen n;beginnings n
Strumpf, Kniestrumpf n;stocking n
entkommen, entrinnen, flüchten v;escape v
Kuh n;cow n
aufstellen, postieren, platzieren, positionieren v;position v
Nagel n;nail n
Messer n;knife - knives n
Tuch, Stoff, Wischtuch, Lappen, Stoff-... n;cloth n
Gas, Benzin (AmE) n;gas n
Geschenk, Präsent, die Gegenwart, das Präsens (Grammatik) n;present n
Bär, Brummbär n;bear n
maschinell herstellen, maschinell bearbeiten v;machine v
Stahl, Wetzstahl n;steel n
baden, waschen v;bathe v
Segel, Flügel (Windmühle) n;sail n
Sammlung, Kollektion, Ansammlung, Zusammentragen, Abholung, Sammeln, Sammlung n;collection n
imprägnieren, wasserdicht machen, Korrektur lesen v;proof v
ausrutschen, abrutschen, wegrutschen, schleichen, slippen (Fliegerei) v;slip v
entschuldigen v;excuse v
Träne n;tear, teardrop n
faul, träge adj;lazy adj
etw quadratisch machen, etw rechtwinkelig machen, etw quadrieren, die Quadratzahl berechnen, etw ausgleichen v;square v
täuschen, trügen, betrügen, hintergehen v;deceive v
stolpern, straucheln, stocken v;stumble v
Bürste, Pinsel, leichte Berührung n;brush n
Schlüssel, Lösungen, Lehrerheft, Lösungsheft, Zeichenerklärung, Taste (Computer), Tonart (Musik), schwarze Druckfarbe n;key n
Explosion, Bruch, Ausbruch, (plötzliches) Auflodern n;burst n
Sturm, Unwetter, Gewitter n;storm n
merkwürdig, sonderbar, seltsam adv;strangely adv
lustig, witzig, komisch, sonderbar, merkwürdig, seltsam adj;funny adj
verwöhnen, verderben, verziehen, ruinieren, stören v;spoil (spoilt - spoilt) v
Sahne, Rahm, Creme, Elite n;cream n
Festkörper, fester Stoff n;solid n
gefrieren, frieren, erfrieren v;freeze (froze - frozen) v
Maus n;mouse - mice n
hell, glänzend, leuchtend, strahlend, fröhlich, heiter, intelligent, schlau, aufgeweckt adj;bright adj
Gewicht, Gewichtsklasse, Schwere, Heftigkeit n;weight n
Schock, Erschütterung, Wucht, Schlag, schockieren, empören n;shock n
Unbekannte(r), Unbekannte (Mathematik) n;unknown n
Hass n;hate n
traurig, betrübt, bekümmert, bedauerlich, bedauernswert, schade, trist adj;sad adj
Flügel, Schwinge, Tragfläche n;wing n
wunderbar, wundervoll adj;wonderful adj
Belohnung, Anerkennung, Finderlohn, Entgelt n;reward n
Frucht, Obst n;fruit n
Arbeitszimmer, spezielle Untersuchung, Erforschung n;study n
zum Narren machen v;fool v
vergebens, vergeblich, nutzlos adj;in vain adj
Jahrtausend, Jahrtausend-... n;millennium n
stürmen, toben v;storm v
erfinden, erdichten (abwertend), sich ausdenken (abwertend) v;invent v
Löcher in etw reißen, einlochen (Golfspiel) v;hole v
Hose (AmE), Unterhose (BrE) n;pants n
Milch n;milk n
Möbel n;furniture n
kriechen, schleichen, sich ranken v;creep (crept - crept) v
tragbar, portabel, mobil adj;portable adj
gebrochen, zerbrochen, kaputt, unterbrochen, gestrichelt, gelöst adj;broken adj
Teller, Platte, Überzug n;plate n
Aufmerksamkeit, Achtung!, Wartung, Instandhaltung, Pflege, Stillstand (Militär) n;attention n
Topf, Glas, Kanne, Kännchen, Tiegel, Pokal n;pot n
Hut, Mütze n;hat n
Kleidung, Kleider n;clothes n
Entdeckung, Fund n;discovery n
elektrisch, Elektro-... adj;electric, electrical adj
vermessen, eine Karte anfertigen von v;map v
ausbreiten, auslegen, spreizen, verbreiten, bestreichen, aufstreichen, sich erstrecken, sich ausdehnen, sich ausbreiten v;spread (spread - spread) v
etw überziehen (mit Material), beplanken, panzern v;plate v
zufällig, versehentlich adj;accidental adj
Medizin, Arznei, Heilkunde n;medicine n
verhängen, trüben, umwölken, überschatten v;cloud v
Vermutung, Annahme, Raten n;guess n
mager, dünn, schmal, hager adj;lean adj
mutig, couragiert adj;courageous adj
eintragen, einzeichnen, kennzeichnen, markieren v;mark v
bewirken, herbeiführen v;effect v
Treppe n;stairs n
Erfindung, schöpferische Fantasie, Einfallsreichtum, Märchen, reine Erfindung n;invention n
schütteln v;shake (shook - shaken) v
Nachbarschaft, Wohngegend, Wohngebiet n;neighbourhood (BrE), neighborhood (AmE) n
Paket n;parcel (BrE), package (AmE) n
Griff, Klinke, Stiel, Henkel, Handhabe n;handle n
Kopie, Abschrift, Reproduktion, Exemplar (Buch, Zeitung) n;copy n
Beschlagnahme, Einzug von etw, Kapern, Besetzung n;seizure n
größenmäßig einordnen, größenmäßig ordnen v;size v
materiell adj;material adj
Geduld, Patience (Kartenspiel) n;patience n
Glanz n;shine n
Ertrag, Ernte, Ausbeute n;yield n
Staub n;dust n
Zweig, Stock, eine Stange (von etw), Zwangsmaßnahme n;stick n
Innere, Inneres, Innenseite, Innenbahn n;inside n
wehen (Fahne), winken, zuwinken, schwenken, wellen (Haar), wogen v;wave v
dünn, dünnflüssig, schmal, spärlich adj;thin adj
Silber n;silver n
Riss, Ritze, Spalte, Spalt, Sprung, Crack n;crack n
Öl, Erdöl, Ölgemälde, Schmeicheleien n;oil n
Aufregung, Begeisterung, Reizung, Erregung n;excitement n
Verschwendung, Vergeudung, Abfall, Müll, Exkremente n;waste n
abkühlen, kühlen v;cool v
eitel, eingebildet, sinnlos, vergeblich adj;vain adj
